STARTING,PASSAGES,DONE
5-Jan-2025,Gen 1-24; Ps 1,x
12-Jan-2025,Gen 25-41; Ps 2,x
19-Jan-2025,Gen 42-50; Ex 1-11; Ps 3,x
26-Jan-2025,Ex 12-30; Ps 4,x
2-Feb-2025,Ex 31-40; Lev 1-9; Ps 5,x
9-Feb-2025,Lev 10-25; Ps 6,x
16-Feb-2025,Lev 26-27; Num 1-13; Ps 7,x
23-Feb-2025,Num 14-31; Ps 8,x
2-Mar-2025,Num 32-36; Deut 1-12; Ps 9,x
9-Mar-2025,Deut 13-31; Ps 10,x
16-Mar-2025,Deut 32-34; Josh 1-17; Ps 11,x
23-Mar-2025,Josh 18-24; Jdg 1-10; Ps 12,x
30-Mar-2025,Jdg 11-21; Rut 1-4; 1 Sa 1-4; Ps 13,x
6-Apr-2025,1 Sa 5-22; Ps 14,x
13-Apr-2025,1 Sa 23-31; 2 Sa 1-12; Ps 15,x
20-Apr-2025,2 Sa 13-24; 1 Kgs 1-2; Ps 16,x
27-Apr-2025,1 Kgs 3-17; Ps 17,x
4-May-2025,1 Kgs 18-22; 2 Kgs 1-10; Ps 18,x
11-May-2025,2 Kgs 11-25; 1 Chr 1; Ps 19,
18-May-2025,1 Chr 2-23; Ps 20,
25-May-2025,1 Chr 24-29; 2 Chr 1-17; Ps 21,
1-Jun-2025,2 Chr 18-36; Ps 22,
8-Jun-2025,Ezr 1-10; Neh 1-10; Ps 23,
15-Jun-2025,Neh 11-13; Est 1-10; Job 1-15; Ps 24,
22-Jun-2025,Job 16-42; Ps 1-17,
29-Jun-2025,Ps 18-67,
6-Jul-2025,Ps 68-112,
13-Jul-2025,Ps 113-150; Pro 1-13,
20-Jul-2025,Pro 14-31; Ecc 1-12; Sos 1; Ps 25,
27-Jul-2025,Sos 2-8; Isa 1-25; Ps 26,
3-Aug-2025,Isa 26-49; Ps 27,
10-Aug-2025,Isa 50-66; Jer 1-8; Ps 28,
17-Aug-2025,Jer 9-29; Ps 29,
24-Aug-2025,Jer 30-47; Ps 30,
31-Aug-2025,Jer 48-52; Lam 1-5; Eze 1-9; Ps 31,
7-Sep-2025,Eze 10-26; Ps 32,
14-Sep-2025,Eze 27-43; Ps 33,
21-Sep-2025,Eze 44-48; Dan 1-11; Ps 34,
28-Sep-2025,Dan 12; Hos 1-14; Joe 1-3; Amo 1-9; Oba; Jon 1-4; Mic 1-2; Ps 35,
5-Oct-2025,Mic 3-7; Nah 1-3; Hab 1-3; Zep 1-3; Hag 1-2; Zec 1-14; Mal 1-3; Ps 36,
12-Oct-2025,Mal 4; Mat 1-19; Ps 37,
19-Oct-2025,Mat 20-28; Mk 1-7; Ps 38,
26-Oct-2025,Mk 8-16; Luk 1-6; Ps 39,
2-Nov-2025,Luk 7-21; Ps 40,
9-Nov-2025,Luk 22-24; John 1-11; Ps 41,
16-Nov-2025,John 12-21; Acts 1-8; Ps 42,
23-Nov-2025,Acts 9-26; Ps 43,
30-Nov-2025,Acts 27-28; Rom 1-16; 1 Co 1-7; Ps 44,
7-Dec-2025,1 Co 8-16; 2 Co 1-13; Gal 1-5; Ps 45,
14-Dec-2025,Gal 6; Eph 1-6; Phil 1-4; Col 1-4; 1 Th 1-5; 2 Th 1-3; 1 Ti 1-6; 2 Ti 1-4; Tit 1; Ps 46,
21-Dec-2025,Tit 2-3; Phlm; Heb 1-13; Jam 1-5; 1 Pe 1-5; 2 Pe 1-3; 1 Jn 1; Ps 47,
28-Dec-2025,1 Jn 2-5; 2 Jn; 3 Jn; Jude; Rev 1-22; Ps 48,